ID,gardian_gender_T1,gardian_age_T1,prefecture_T1,area_T1,married_T1,familyincome_T1,pinincome_T1,job_T1,child_gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,health1_T1,health2_T1,health3_T1,health4_T1,health5_T1,panas1_T1,panas2_T1,panas3_T1,panas4_T1,panas5_T1,panas6_T1,panas7_T1,panas8_T1,panas9_T1,panas10_T1,panas11_T1,panas12_T1,panas13_T1,panas14_T1,panas15_T1,panas16_T1
8339,1,41,8,3,2,3,1,9,1,3,5,3,3,6,6,7,5,5,6,5,3,2,2,2,2,2,1,3,1,3,1,2,4,4,3,3,4,3,3,3,5,2
20006,0,51,36,7,2,3,2,6,1,4,4,4,3,3,3,4,4,4,2,4,3,5,5,5,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22660,0,52,15,4,2,4,2,5,0,5,4,5,5,6,7,3,3,4,6,4,4,4,5,5,5,5,2,5,2,5,2,4,3,4,3,4,3,3,2,5,4,3
68936,0,40,7,2,2,4,3,4,0,3,2,4,4,4,4,3,4,4,3,3,5,5,5,5,5,4,2,4,2,3,2,2,2,3,2,2,2,2,2,2,2,2
93869,1,48,16,4,2,10,2,3,0,4,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4
114169,1,47,13,3,2,5,2,4,0,5,3,4,4,5,5,5,5,3,7,5,3,4,4,4,4,4,2,5,2,5,2,4,3,5,3,4,3,5,3,3,3,4
262211,1,52,11,3,2,5,1,8,0,4,1,4,1,6,4,6,4,4,7,6,5,5,5,5,5,5,1,5,1,3,3,4,3,4,2,3,3,3,3,3,3,3
310689,0,54,14,3,2,.,.,4,1,6,7,4,3,7,4,4,2,5,6,7,7,4,3,2,2,2,1,5,1,1,3,4,4,3,2,6,4,5,1,3,4,2
519697,0,48,3,2,1,3,2,6,0,3,2,4,5,5,4,4,5,3,5,4,5,4,4,3,4,3,2,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2
519813,0,47,13,3,2,4,4,3,0,3,4,3,5,5,4,4,4,4,4,4,4,3,2,3,3,3,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4
522602,0,55,32,6,2,2,2,6,1,4,3,5,5,4,3,3,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
533919,0,46,13,3,2,8,4,1,0,5,5,5,6,5,6,5,6,3,6,5,6,3,3,4,3,4,3,3,3,3,3,3,5,4,4,4,4,3,3,3,4,3
624192,0,49,11,3,2,4,3,6,0,3,3,6,4,5,5,4,4,4,5,4,4,4,4,4,4,4,2,4,2,3,2,3,3,3,3,3,3,3,3,3,2,2
629601,1,46,24,4,2,3,1,8,0,5,6,6,6,6,6,4,5,3,7,6,5,3,3,4,3,4,3,4,3,3,3,3,4,4,4,4,4,3,4,3,4,3
708188,0,50,13,3,2,6,4,4,1,5,4,5,4,6,5,5,4,5,6,5,3,4,4,4,5,4,2,5,3,4,3,4,3,4,3,4,3,5,3,4,3,5
709391,1,59,44,8,2,7,1,8,1,5,5,6,5,6,5,4,5,2,6,5,4,4,2,4,2,4,4,5,2,3,2,4,4,5,3,4,4,4,2,3,4,3
716580,0,53,27,5,2,3,3,5,0,4,4,4,4,5,4,6,4,4,5,4,3,5,5,4,5,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,3,3
747704,0,54,27,5,2,3,3,5,1,5,4,6,4,7,5,7,4,3,6,5,6,5,3,3,3,4,2,4,2,3,2,3,4,4,2,4,3,4,2,4,3,3
771624,1,43,44,8,1,2,1,3,0,3,3,4,5,6,5,5,4,4,5,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2
960937,1,45,7,2,1,1,1,6,0,4,4,4,3,7,6,7,1,4,7,4,1,3,3,3,2,2,1,3,1,3,1,4,3,3,2,1,2,1,1,1,4,1
1126785,1,43,34,6,2,4,1,9,0,5,5,5,6,6,6,7,6,2,7,6,6,4,4,4,2,4,4,4,3,3,4,4,4,3,3,3,3,3,2,2,5,4
1133385,0,50,3,2,2,3,1,9,1,4,4,1,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3
1186526,0,47,28,5,2,3,3,5,0,4,4,4,3,4,4,3,3,6,2,5,5,5,5,4,5,5,3,4,3,4,3,3,3,3,2,5,2,4,2,5,2,2
1301169,1,43,40,8,2,3,10,8,1,5,4,5,5,5,6,7,5,4,6,6,7,2,2,4,2,2,4,4,3,3,3,2,4,4,4,3,5,3,2,3,4,1
1362384,1,52,23,4,2,4,1,9,0,2,4,1,4,4,5,4,4,5,6,5,4,3,4,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,1,3,3,2
1520098,0,55,13,3,2,8,7,2,0,7,5,4,2,5,2,3,1,4,7,6,5,4,4,2,3,2,3,4,1,4,4,3,5,5,2,4,4,4,1,3,4,1
1601623,1,46,27,5,1,1,1,9,1,4,4,4,4,4,5,3,4,3,3,4,4,3,3,3,3,4,1,4,2,5,3,4,4,3,2,3,3,5,2,4,3,4
1636546,1,42,1,1,2,2,1,8,0,4,5,4,4,3,4,5,4,4,6,5,6,3,3,3,2,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3
1648311,0,45,13,3,2,4,4,3,1,5,6,1,1,6,5,7,5,5,6,7,4,5,5,5,5,4,1,4,1,4,1,2,4,3,1,3,1,4,1,4,1,1
1661421,0,48,13,3,2,3,3,5,1,5,6,6,4,5,6,7,7,4,7,5,5,4,4,4,4,3,1,3,1,3,2,3,4,3,4,3,3,3,3,3,5,1
1673170,1,47,16,4,2,3,1,9,0,4,4,4,4,4,4,6,4,4,4,5,4,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3
